index	commit	upstream_commit	android_commit	subject	CVE	Fixes_tag	subsystem	files	security	corruption	memory_safety	deadlock	race	encryption	performance	on_disk_change	requires_fscrypt_change	requires_block_change	requires_kabi_change	dependencies	already_present	applicable_to_6.12.35	risk	recommended	status
19	cfe27f8aff2ed8b2576bc9a5161113dc45ed929d	b41c1d8d07906786c60893980d52688f31d114a6		fscrypt: Don't use problematic non-inline crypto engines 		b30ab0e03407	FSCRYPT	Documentation/filesystems/fscrypt.rst,fs/crypto/fscrypt_private.h,fs/crypto/hkdf.c,fs/crypto/keysetup.c,fs/crypto/keysetup_v1.c	NO	NO	NO	NO	NO	YES	NO	NO	YES	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	HIGH	MUST_BACKPORT	APPLIED_F2FS_S02_STATIC_PASS
20	a50e10af2fc55d65ba6b4309fa8588619142324c	e23ab8028de0d92df5921a570f5212c0370db3b5		f2fs: check the generic conditions first 			F2FS	fs/f2fs/file.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
21	8263f32e1017d88ae75859dca955308c3cd89232	f70291411ba20d50008db90a6f0731efac27872c		block: Introduce bio_needs_zone_write_plugging() 		f211268ed1f9	DM	block/blk-mq.c,block/blk-zoned.c,drivers/md/dm.c,include/linux/blkdev.h	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	REVIEW		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	HIGH	DO_NOT_BACKPORT	DEFERRED
22	d10bf66d9f9335ffc7521b3029b114f50604cabe	2df7168717b7d2d32bcf017c68be16e4aae9dd13		dm: Always split write BIOs to zoned device limits 		f211268ed1f9	DM	drivers/md/dm.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	HIGH	OPTIONAL_REVIEW	DEFERRED
23	411950235485742cb4e24e30c2a27b9f92a1f156	675f940576351bb049f5677615140b9d0a7712d0		dm: split write BIOs on zone boundaries when zone append is not emulated 		2df7168717b7	DM	drivers/md/dm.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	HIGH	OPTIONAL_REVIEW	DEFERRED
24	f0fc87ca5c446687dba540708d3f848339366eed	409f9287dab3b53bffe8d28d883a529028aa6a42		dm: Check for forbidden splitting of zone write operations 		f211268ed1f9	DM	drivers/md/dm.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	HIGH	OPTIONAL_REVIEW	DEFERRED
25	888aa660144bcb6ec07839da756ee46bfcf7fc53	77de19b6867f2740cdcb6c9c7e50d522b47847a4		f2fs: fix to avoid out-of-boundary access in dnode page 			F2FS	fs/f2fs/node.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S06_STATIC_PASS
26	3db3e7d4f2d96575bcf098c81aaf5899a6885cfb	e75ce117905d2830976a289e718470f3230fa30a		f2fs: fix condition in __allow_reserved_blocks() 		7e65be49ed94	F2FS	fs/f2fs/f2fs.h	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
27	f9bd59d1600f4bc0ef01c9ec4656e10fa8e2c05c	869833f54e8306326b85ca3ed08979b7ad412a4a		f2fs: fix to update map->m_next_extent correctly in f2fs_map_blocks() 		c4020b2da4c9	F2FS	fs/f2fs/data.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
28	a7b7ebdd7045a36454b3e388a2ecf50344fad9e6	9251a9e6e871cb03c4714a18efa8f5d4a8818450		f2fs: fix to truncate first page in error path of f2fs_truncate() 		92dffd01790a	F2FS	fs/f2fs/file.c	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	SHOULD_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
29	d6b19dacc094556dbbfee3287f6b4637cf5a8a3a	c2f7c32b254006ad48f8e4efb2e7e7bf71739f17		f2fs: fix to mitigate overhead of f2fs_zero_post_eof_page() 		ba8dac350faf	F2FS	fs/f2fs/file.c	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	LOW	SHOULD_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
30	8ec4fa035c08cd992c22bcb967c362727e795b35	8175c864391753b210f3dcfae1aeed686a226ebb		f2fs: fix zero-sized extent for precache extents 		c4020b2da4c9	F2FS	fs/f2fs/data.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
31	e258ecf0c2a8f621ca2d08bbce6ceff4820cc762	7f597c2cdb9d3263a6fce07c4fc0a9eaa8e8fc43		dm: fix queue start/stop imbalance under suspend/load/resume races 		e70feb8b3e68	DM	drivers/md/dm-core.h,drivers/md/dm.c	NO	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	HIGH	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
32	19ca4528666990be376ac3eb6fe667b03db5324d	8d33a030c566e1f105cd5bf27f37940b6367f3be		dm: fix NULL pointer dereference in __dm_suspend() 		c4576aed8d85	DM	drivers/md/dm.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	YES	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	HIGH	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
33	40bf3676cb3992829f30608acf78007e99570455	9d5c4f5c7a2c7677e1b3942772122b032c265aae		f2fs: fix wrong block mapping for multi-devices 		71f2c8206202	F2FS	fs/f2fs/data.c	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
34	2dda0930fb79b847b4bfceb737577d0f6bc24d7d	48ea8b200414ac69ea96f4c231f5c7ef1fbeffef		f2fs: fix to avoid panic once fallocation fails for pinfile 		f5a53edcf01e	F2FS	fs/f2fs/file.c,fs/f2fs/segment.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		YES	YES	LOW	ALREADY_PRESENT	ALREADY_PRESENT_IN_FINAL_SOURCE
35	6b9525596a83cd5b7bbc2c7bd5f9ad9cf5ad60fa	8fc6056dcf79937c46c97fa4996cda65956437a9		f2fs: fix to detect potential corrupted nid in free_nid_list 			F2FS	fs/f2fs/node.c,include/linux/f2fs_fs.h	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	REVIEW		FUNCTIONAL_REVIEW_REQUIRED	YES	HIGH	MUST_BACKPORT	APPLIED_F2FS_S06_STATIC_PASS
36	0d8ea98ebb08eda541dbe5516b9be52eccccd10c	a33be64b98d0723748d2fab0832b926613e1fce0		f2fs: fix wrong layout information on 16KB page 			F2FS	fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
37	c0b9951bb2668d67eb4817bb23fc109abc08c075	23361bd54966b437e1ed3eb1a704572f4b279e58		f2fs: fix infinite loop in __insert_extent_tree() 			F2FS	fs/f2fs/extent_cache.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		YES	YES	LOW	ALREADY_PRESENT	ALREADY_PRESENT_IN_FINAL_SOURCE
38	0e75a098b0a37f02ca31fe99ac16004c8163cf67	0fe1c6bec54ea68ed8c987b3890f2296364e77bb		f2fs: fix to avoid overflow while left shift operation 		3265d3db1f16	F2FS	fs/f2fs/compress.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
39	58ecedab080c41b7ecbb9f38d81d35a169738b82	ef0c333cad8d1940f132a7ce15f15920216a3bd5		f2fs: keep POSIX_FADV_NOREUSE ranges 			F2FS	fs/f2fs/debug.c,fs/f2fs/f2fs.h,fs/f2fs/file.c,fs/f2fs/inode.c,fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
40	9933e05f508e08ff9054d859c6736234f8d3700f	a907f3a68ee26ba493a08a958809208d17f3347e		f2fs: add a sysfs entry to reclaim POSIX_FADV_NOREUSE pages 			F2FS	Documentation/ABI/testing/sysfs-fs-f2fs,fs/f2fs/f2fs.h,fs/f2fs/shrinker.c,fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
41	65e42a7084d1a19d94ca4e1a620dabde2e0a76ae	f7f8932ca6bb22494ef6db671633ad3b4d982271		f2fs: fix to avoid running out of free segments 		f5a53edcf01e	F2FS	fs/f2fs/file.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
42	7cc6b80df66f69bff1acf5cbcba5aaf639fc97c8	d7b549def0eb42a950eebd3bd5343f5c8088c305		f2fs: add carve_out sysfs node 			F2FS	Documentation/ABI/testing/sysfs-fs-f2fs,fs/f2fs/f2fs.h,fs/f2fs/super.c,fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
43	d4a4abba458496d27fd54196597249c8cddfbb95	3fea0641b06ff4e53d95d07a96764d8951d4ced6		f2fs: sysfs: add encoding_flags entry 			F2FS	Documentation/ABI/testing/sysfs-fs-f2fs,fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	REVIEW	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED_DISK_OR_FEATURE_CHANGE
44	4c5181b9e1a994b5df6de0815ef0a1cfb888a31b	59c1c89e9ba8cefff05aa982dd9e6719f25e8ec5		f2fs: introduce reserved_pin_section sysfs entry 			F2FS	Documentation/ABI/testing/sysfs-fs-f2fs,fs/f2fs/f2fs.h,fs/f2fs/file.c,fs/f2fs/super.c,fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
45	4236c017c4cecd8a67d90a93adf6ed8601fa606b	1d4c5dbba1a53aeaf2c6cc84e7ba94c436d18852		f2fs: add gc_boost_gc_multiple sysfs node 			F2FS	Documentation/ABI/testing/sysfs-fs-f2fs,fs/f2fs/gc.c,fs/f2fs/gc.h,fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
46	3573b620027236558902247f566ceab8be9cb542	c8705cefce44fbe85ca3b180dee0e0b5f3d51dc5		f2fs: add gc_boost_gc_greedy sysfs node 			F2FS	Documentation/ABI/testing/sysfs-fs-f2fs,fs/f2fs/gc.c,fs/f2fs/gc.h,fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
47	dfa39de442ecdd166f84bfe698420c2013ea8abc	e462fc48ceb8224811c3224650afed05cb7f0872		f2fs: maintain one time GC mode is enabled during whole zoned GC cycle 		e791d00bd06c	F2FS	fs/f2fs/gc.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
48	3b15d5f12935e9e25f9a571e680716bc9ee61025	297baa4aa263ff8f5b3d246ee16a660d76aa82c4		f2fs: ensure node page reads complete before f2fs_put_super() finishes 		20872584b8c0b	F2FS	fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
49	6c3bab5c6261aa22c561ef56b7365959a90e7d91	ca8b201f28547e28343a6f00a6e91fa8c09572fe		f2fs: fix to avoid potential deadlock 		95fa90c9e5a7	F2FS	fs/f2fs/compress.c,fs/f2fs/f2fs.h,fs/f2fs/super.c	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
50	4f244c64efe628d277b916f47071adf480eb8646	7c37c79510329cd951a4dedf3f7bf7e2b18dccec		f2fs: fix to avoid updating zero-sized extent in extent cache 		6e9619499f53	F2FS	fs/f2fs/file.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
51	c89845fae250efdd59c1d4ec60e9e1c652cee4b6	d33f89b34aa313f50f9a512d58dd288999f246b0		f2fs: invalidate dentry cache on failed whiteout creation 		7e01e7ad746b	F2FS	fs/f2fs/namei.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
52	19d7ac99e1012eb7c6113d1217fd3270060dd6bc	27bf6a637b7613fc85fa6af468b7d612d78cd5c0		f2fs: fix age extent cache insertion skip on counter overflow 		71644dff4811	F2FS	fs/f2fs/extent_cache.c,fs/f2fs/f2fs.h,fs/f2fs/segment.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
53	baf461563a8da78f40f7f9c64c740f1adaff6a35	392711ef18bff524a873b9c239a73148c5432262		f2fs: fix uninitialized one_time_gc in victim_sel_policy 		e791d00bd06c	F2FS	fs/f2fs/gc.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
54	473550e715654ad7612aa490d583cb7c25fe2ff3	01fba45deaddcce0d0b01c411435d1acf6feab7b		f2fs: fix return value of f2fs_recover_fsync_data() 		6781eabba1bd	F2FS	fs/f2fs/super.c	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	SHOULD_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
55	baf1a27e5664dd20de3d8d53e67306d861da74a2	68d05693f8c031257a0822464366e1c2a239a512		f2fs: fix to detect recoverable inode during dryrun of find_fsync_dnodes() 		6781eabba1bd	F2FS	fs/f2fs/recovery.c	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	SHOULD_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
56	1eb0b130196bcbc56c5c80c83139fa70c0aa82c5	1f27ef42bb0b7c0740c5616ec577ec188b8a1d05		f2fs: use global inline_xattr_slab instead of per-sb slab cache 		a999150f4fe3	F2FS	fs/f2fs/f2fs.h,fs/f2fs/super.c,fs/f2fs/xattr.c,fs/f2fs/xattr.h	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
57	5796c5382101fe6205819732719161ce32d43604	078cad8212ce4f4ebbafcc0936475b8215e1ca2a		f2fs: drop inode from the donation list when the last file is closed 			F2FS	fs/f2fs/f2fs.h,fs/f2fs/file.c,fs/f2fs/inode.c,fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
58	0bf1a02494c7eb5bd43445de4c83c8592e02c4bf	10b591e7fb7cdc8c1e53e9c000dc0ef7069aaa76		f2fs: fix to avoid updating compression context during writeback 		4c8ff7095bef	F2FS	fs/f2fs/data.c,fs/f2fs/f2fs.h,fs/f2fs/file.c,fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
59	cccd92ec7e34487593afee7f7b0dfa98108b0827	f88c7904b5c7e35ab8037e2a59e10d80adf6fd7e		f2fs: clear SBI_POR_DOING before initing inmem curseg 			F2FS	fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
60	621dc9eb90a59fe62d8589ce2489e83efad4bf21	4bc347779698b5e67e1514bab105c2c083e55502		f2fs: add timeout in f2fs_enable_checkpoint() 			F2FS	fs/f2fs/f2fs.h,fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
61	341f6a26bfa92c1ba45a05f7c21927300c3f8db0	80b6d1d2535a343e43d658777a46f1ebce8f3413		f2fs: dump more information for f2fs_{enable,disable}_checkpoint() 			F2FS	fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
62	d01cdf6425242ed1b8870bdbf1b0999b19254290	be112e7449a6e1b54aa9feac618825d154b3a5c7		f2fs: fix to propagate error from f2fs_enable_checkpoint() 		4354994f097d	F2FS	fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
63	aeb70609e6b57541d077f575300c7c7e2d838418	761dac9073cd67d4705a94cd1af674945a117f4c		f2fs: fix to add gc count stat in f2fs_gc_range 		9bf1dcbdfdc8	F2FS	fs/f2fs/gc.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
