index	subsystem	commit	upstream_commit	android_commit	subject	CVE	Fixes	security	correctness	memory_safety	key_lifetime	credential_lifetime	inline_crypto	FBE_relevance	metadata_encryption_relevance	existing_user0_relevance	dependencies	KABI_dependency	vendor_dependency	already_present	applicable	risk	recommended	status	reason
13	DM_DEFAULT_KEY	d75e1f837e766f54bd1a12e40e41d01167dc176e		d75e1f837e766f54bd1a12e40e41d01167dc176e	ANDROID: dm-default-key: Set .flush_bypasses_map			NO	NO	NO	NO	NO	NO	LOW	MEDIUM	LOW	REQ_PREFLUSH optimization series	YES	NO	NO	YES	MEDIUM	OPTIONAL	DEFERRED	Performance preparation only; the associated preflush series was reverted and later redone
14	DM_DEFAULT_KEY	019f0d2ab37ee77f982cfdc921c2d75a9623a69a		019f0d2ab37ee77f982cfdc921c2d75a9623a69a	ANDROID: dm-default-key: Set BLK_FEAT_ORDERED_HWQ			NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	Zoned write pipelining series	YES	NO	NO	NO	HIGH	DO_NOT_BACKPORT	NOT_APPLICABLE	Canoe userdata is not a zoned-device migration and the feature needs a broad block-layer series
15	UFS_CORE	6a87e794046f5db667acc99c671781102b28931b	2e083cd802294693a5414e4557a183dd7e442e71	6a87e794046f5db667acc99c671781102b28931b	scsi: ufs: core: Fix clk scaling to be conditional in reset and restore		a3cd5ec55f6c	NO	YES	NO	NO	NO	NO	MEDIUM	MEDIUM	MEDIUM		NO	NO	NO	YES	MEDIUM	SHOULD_BACKPORT	SELECTED_PENDING	Prevents incorrect latency vote during UFS resume/reset
16	UFS_CORE	d710ed68c54a08e3c67c839ef526e8c57a62d11c	35dabf4503b94a697bababe94678a8bc989c3223	d710ed68c54a08e3c67c839ef526e8c57a62d11c	scsi: ufs: core: Use link recovery when h8 exit fails during runtime resume		4db7a2360597	NO	YES	NO	NO	NO	NO	HIGH	HIGH	HIGH	Follow-up 1bcc4ea8207a	REVIEW	NO	NO	YES	HIGH	SHOULD_BACKPORT	SELECTED_PENDING	Prevents unrecoverable runtime-resume failure; final follow-up must be evaluated together
17	UFS_CORE	e6f3cb87365428583a0d0c845630b8a1221e2127		e6f3cb87365428583a0d0c845630b8a1221e2127	BACKPORT: FROMLIST: scsi: ufs: core: Fix data race in CPU latency PM QoS request handling			NO	YES	YES	NO	NO	NO	MEDIUM	MEDIUM	MEDIUM	aa134d3a49c4 follow-up	YES	NO	NO	YES	HIGH	SHOULD_BACKPORT	SELECTED_PENDING	Android KMI-preserving repair for a Qualcomm-reported race; must include initialization fix
18	UFS_CORE	aa134d3a49c4dc0e951026377c44b567a488d223	0ba7a254afd037cfc2b656f379c54b43c6e574e8	aa134d3a49c4dc0e951026377c44b567a488d223	BACKPORT: scsi: ufs: core: Fix PM QoS mutex initialization		79dde5f7dc7c	NO	YES	YES	NO	NO	NO	MEDIUM	MEDIUM	MEDIUM	e6f3cb873654	YES	NO	NO	YES	HIGH	MUST_BACKPORT	SELECTED_PENDING	Required follow-up if the PM QoS race fix is selected
19	UFS_CORE	8d685863f557cdf5f8328c30914a9ac5b0c53e7f	5cb782ff3c62c837e4984b6ae9f5d9a423cd5088	8d685863f557cdf5f8328c30914a9ac5b0c53e7f	scsi: ufs: mcq: Fix memory allocation checks for SQE and CQE		4682abfae2eb	NO	YES	YES	NO	NO	NO	HIGH	HIGH	HIGH		NO	NO	NO	YES	MEDIUM	MUST_BACKPORT	SELECTED_PENDING	Fixes incorrect allocation-failure checks on the active MCQ storage path
20	UFS_CORE	496ca70a15f4d1cc6834b99b50e7568534d131bd	b4bb6daf4ac4d4560044ecdd81e93aa2f6acbb06	79bb460d34955a5d2012e7852e784a35053a42c6	scsi: ufs: core: Fix EH failure after W-LUN resume error			NO	YES	NO	NO	NO	NO	HIGH	HIGH	HIGH		REVIEW	NO	NO	YES	HIGH	SHOULD_BACKPORT	SELECTED_PENDING	Repairs parent/HBA runtime-PM state during W-LUN recovery
21	UFS_CORE	7ef00d3457d8c9cee0915ee0edff247031c36e0c	f966e02ae52192928d544262ee7a68611e333031	7ef00d3457d8c9cee0915ee0edff247031c36e0c	scsi: ufs: core: Fix runtime suspend error deadlock			NO	YES	NO	NO	NO	NO	HIGH	HIGH	HIGH	459c818f8b5a and a460b437af44 follow-ups	REVIEW	NO	NO	YES	HIGH	SHOULD_BACKPORT	SELECTED_PENDING	Coherent three-patch recovery series only
22	UFS_CORE	459c818f8b5a562c34a27b915fae53792fa82a71	e23ef4f22db30a1e49c8b060e4ebc9dc9ca99c49	459c818f8b5a562c34a27b915fae53792fa82a71	scsi: ufs: core: Fix error handler host_sem issue		f966e02ae521	NO	YES	NO	NO	NO	NO	HIGH	HIGH	HIGH	7ef00d3457d8 and a460b437af44	REVIEW	NO	NO	YES	HIGH	MUST_BACKPORT	SELECTED_PENDING	Required correction to the runtime-suspend deadlock fix
23	UFS_CORE	a460b437af44c3317a57e637455ee891d0ee0352	14be351e5cd07349377010e457a58fac99201832	a460b437af44c3317a57e637455ee891d0ee0352	UPSTREAM: scsi: ufs: core: Fix an error handler crash		f966e02ae521 e23ef4f22db3	NO	YES	YES	NO	NO	NO	HIGH	HIGH	HIGH	7ef00d3457d8 and 459c818f8b5a	NO	NO	NO	YES	HIGH	MUST_BACKPORT	SELECTED_PENDING	Required NULL check for the selected error-handler series
24	UFS_CORE	2fcc2fc21cae7a0cbe73053f7fc70680ce2a7f69	b0bd84c39289ef6a6c3827dd52c875659291970a	2fcc2fc21cae7a0cbe73053f7fc70680ce2a7f69	scsi: ufs: core: Fix SError in ufshcd_rtc_work() during UFS suspend		6bf999e0eb41	NO	YES	YES	NO	NO	NO	HIGH	HIGH	HIGH	0267a9417dfe active-active follow-up	NO	NO	NO	YES	HIGH	MUST_BACKPORT	SELECTED_PENDING	Prevents controller access after vendor suspend starts
25	UFS_CORE	0267a9417dfe1342acbdfb8489b593ac4e6fa308	f71b4a30983b846b4075bf544e835121e70e6a43		 scsi: ufs: core: Cancel RTC work in active-active suspend		b0bd84c39289	NO	YES	YES	NO	NO	NO	HIGH	HIGH	HIGH	2fcc2fc21cae	NO	NO	NO	YES	HIGH	MUST_BACKPORT	SELECTED_PENDING	Closes the active-active path left open by the first RTC fix
26	UFS_CORE	6557af8245c07fb0c5a2ca83032b58fbc6bea948		6557af8245c07fb0c5a2ca83032b58fbc6bea948	scsi: ufs: core: Fix shift out of bounds when MAXQ=32			NO	YES	YES	NO	NO	NO	MEDIUM	MEDIUM	MEDIUM		NO	NO	NO	YES	LOW	MUST_BACKPORT	SELECTED_PENDING	Removes undefined shift on valid MCQ capability
27	UFS_CORE	be730f9ee92ae08f2bc4b336967bcfd8183c06fe		be730f9ee92ae08f2bc4b336967bcfd8183c06fe	scsi: ufs: core: Fix possible NULL pointer dereference in ufshcd_add_command_trace()			NO	YES	YES	NO	NO	NO	LOW	LOW	LOW		NO	NO	NO	YES	LOW	SHOULD_BACKPORT	SELECTED_PENDING	Trace/error path safety with no storage semantics change
28	QUALCOMM_ICE	e6ec8c4d525e7393b3a09409506b2f60e0ac6272	5a4dc805a80e6fe303d6a4748cd451ea15987ffd		soc: qcom: ice: Return -ENODEV if the ICE platform device is not found		2afbf43a4aec	NO	YES	NO	NO	NO	YES	HIGH	HIGH	HIGH	Dedicated common ICE platform driver	YES	YES	NO	NO	HIGH	DEFERRED_DEPENDENCY	VENDOR_COMPONENT_UPDATE_REQUIRED	Canoe runs stock qcom_ice.ko from a divergent HWKM-capable soc-repo implementation
29	QUALCOMM_ICE	fabafc0c90e0dec72eeea60ef0cf08fc531fb7ce	d922113ef91e6e7e8065e9070f349365341ba32e		soc: qcom: ice: Fix race between qcom_ice_probe() and of_qcom_ice_get()		2afbf43a4aec	NO	YES	YES	NO	NO	YES	HIGH	HIGH	HIGH	Dedicated common ICE platform driver	YES	YES	NO	REVIEW	HIGH	DEFERRED_DEPENDENCY	VENDOR_COMPONENT_UPDATE_REQUIRED	Potentially relevant concept but cannot alter exact stock vendor_boot module in a boot-only phase
30	QUALCOMM_ICE	de970cfda8e0c8fb6e9274912029328eec2a2565	0d5dc5818191b55e4364d04b1b898a14a2ccac38		soc: qcom: ice: Allow explicit votes on iface clock for ICE		2afbf43a4aec	NO	YES	NO	NO	NO	YES	HIGH	HIGH	HIGH	Dedicated common ICE platform driver and DT clock binding	YES	YES	NO	REVIEW	HIGH	DEFERRED_DEPENDENCY	VENDOR_COMPONENT_UPDATE_REQUIRED	Active Canoe driver embeds ICE in UFS and is an immutable stock module
31	QUALCOMM_SCM	27568eeee66d9091b4cbd9c0f24bc7e042e9144a	121fcf3c871181edce0708a49d2397cedd6ad21f	27568eeee66d9091b4cbd9c0f24bc7e042e9144a	firmware: qcom: scm: preserve assign_mem() error return value			NO	YES	NO	NO	NO	NO	NONE	NONE	NONE	qcom_scm_assign_mem path only	NO	YES	NO	NO	LOW	NOT_APPLICABLE	NOT_APPLICABLE	Does not affect ICE key programming or encrypted-storage SCM calls
32	UFS_QCOM	f6ca783ba264dd369e8cc3ae35cb42ceeaf0f915		f6ca783ba264dd369e8cc3ae35cb42ceeaf0f915	UPSTREAM: scsi: ufs: qcom: Check gear against max gear in vop freq_to_gear()			NO	YES	NO	NO	NO	NO	LOW	LOW	LOW	Source-built stock ufs-qcom module replacement	YES	YES	NO	YES	MEDIUM	OPTIONAL	DEFERRED	Power/gear guard is not an encryption fix and requires changing an immutable vendor_boot module
33	UFS_CORE	1bcc4ea8207a0191588646936a7634dcbca4deb7	62c015373e1cdb1cdca824bd2dbce2dac0819467	1bcc4ea8207a0191588646936a7634dcbca4deb7	scsi: ufs: core: Move link recovery for hibern8 exit failure to wl_resume		35dabf4503b9	NO	YES	NO	NO	NO	NO	HIGH	HIGH	HIGH	d710ed68c54a must be applied first	NO	NO	NO	YES	HIGH	MUST_BACKPORT	SELECTED_PENDING	Required follow-up that limits link recovery to hibern8 exit failure during resume and avoids incorrect recovery on suspend
34	UFS_CORE	c9e403b9d5df88cd939a009b09b677a871ed9879	f8ef441811ec413717f188f63d99182f30f0f08e	c9e403b9d5df88cd939a009b09b677a871ed9879	FROMGIT: scsi: ufs: core: Flush exception handling work when RPM level is zero		57d104c153d3	NO	YES	NO	NO	NO	NO	HIGH	HIGH	HIGH	Final Android form after the earlier flush-work attempt and revert	NO	NO	NO	YES	HIGH	SHOULD_BACKPORT	SELECTED_PENDING	Prevents exception work from touching the UFS controller after deep power-down when runtime PM level is zero
